Date(UTC),UnixTimeStamp,Value,,,
1/9/2022,1641686400,3,,,
1/10/2022,1641772800,3,,,
1/11/2022,1641859200,3.01,,,
1/12/2022,1641945600,3.01,,,
1/13/2022,1642032000,3,,,
1/14/2022,1642118400,3.01,,,
1/15/2022,1642204800,3.01,,,
1/16/2022,1642291200,3.01,,,
1/17/2022,1642377600,3.03,,,
1/18/2022,1642464000,3.04,,,
1/19/2022,1642550400,3.02,,,
1/20/2022,1642636800,3,,,
1/21/2022,1642723200,3.01,,,
1/22/2022,1642809600,3.01,,,
1/23/2022,1642896000,3,,,
1/24/2022,1642982400,3.01,,,
1/25/2022,1643068800,3.01,,,
1/26/2022,1643155200,3.01,,,
1/27/2022,1643241600,3.01,,,
1/28/2022,1643328000,3.01,,,
1/29/2022,1643414400,3,,,
1/30/2022,1643500800,3,,,
1/31/2022,1643587200,3.01,,,
2/1/2022,1643673600,3,,,
2/2/2022,1643760000,3,,,
2/3/2022,1643846400,3,,,
2/4/2022,1643932800,3.01,,,
2/5/2022,1644019200,3,,,
2/6/2022,1644105600,3,,,
2/7/2022,1644192000,3,,,
2/8/2022,1644278400,3,,,
2/9/2022,1644364800,3,,,
2/10/2022,1644451200,3,,,
2/11/2022,1644537600,3.01,,,
2/12/2022,1644624000,3.01,,,
2/13/2022,1644710400,3,,,
2/14/2022,1644796800,3,,,
2/15/2022,1644883200,3.02,,,
2/16/2022,1644969600,3.01,,,
2/17/2022,1645056000,3.01,,,
2/18/2022,1645142400,3.01,,,
2/19/2022,1645228800,3.01,,,
2/20/2022,1645315200,3.01,,,
2/21/2022,1645401600,3.01,,,
2/22/2022,1645488000,3.02,,,
2/23/2022,1645574400,3,,,
2/24/2022,1645660800,3.01,,,
2/25/2022,1645747200,3.01,,,
2/26/2022,1645833600,3.01,,,
2/27/2022,1645920000,3.01,,,
2/28/2022,1646006400,3.01,,,
3/1/2022,1646092800,3.02,,,
3/2/2022,1646179200,3.01,,,
3/3/2022,1646265600,3.01,,,
3/4/2022,1646352000,3.01,,,
3/5/2022,1646438400,3.01,,,
3/6/2022,1646524800,3.03,,,
3/7/2022,1646611200,3.01,,,
3/8/2022,1646697600,3.02,,,
3/9/2022,1646784000,3.02,,,
3/10/2022,1646870400,3.03,,,
3/11/2022,1646956800,3.01,,,
3/12/2022,1647043200,3,,,
3/13/2022,1647129600,3,,,
3/14/2022,1647216000,3.02,,,
3/15/2022,1647302400,3.01,,,
3/16/2022,1647388800,3.01,,,
3/17/2022,1647475200,3.01,,,
3/18/2022,1647561600,3.02,,,
3/19/2022,1647648000,3.02,,,
3/20/2022,1647734400,3.03,,,
3/21/2022,1647820800,3.07,,,
3/22/2022,1647907200,3.04,,,
3/23/2022,1647993600,3.01,,,
3/24/2022,1648080000,3.01,,,
3/25/2022,1648166400,3.01,,,
3/26/2022,1648252800,3.01,,,
3/27/2022,1648339200,3.01,,,
3/28/2022,1648425600,3.01,,,
3/29/2022,1648512000,3.02,,,
3/30/2022,1648598400,3.12,,,
3/31/2022,1648684800,3.01,,,
4/1/2022,1648771200,3.03,,,
4/2/2022,1648857600,3.02,,,
4/3/2022,1648944000,3.02,,,
4/4/2022,1649030400,3.04,,,
4/5/2022,1649116800,3.01,,,
4/6/2022,1649203200,3.02,,,
4/7/2022,1649289600,3.01,,,
