Date(UTC),UnixTimeStamp,Value
3/13/2022,1647129600,48520
3/14/2022,1647216000,51998
3/15/2022,1647302400,53753
3/16/2022,1647388800,53205
3/17/2022,1647475200,56018
3/18/2022,1647561600,52589
3/19/2022,1647648000,56880
3/20/2022,1647734400,55394
3/21/2022,1647820800,70443
3/22/2022,1647907200,62800
3/23/2022,1647993600,60460
3/24/2022,1648080000,63491
3/25/2022,1648166400,57763
3/26/2022,1648252800,53056
3/27/2022,1648339200,54295
3/28/2022,1648425600,63316
3/29/2022,1648512000,59379
3/30/2022,1648598400,66352
3/31/2022,1648684800,65580
4/1/2022,1648771200,66417
4/2/2022,1648857600,62227
4/3/2022,1648944000,58041
4/4/2022,1649030400,64747
4/5/2022,1649116800,63046
4/6/2022,1649203200,59275
4/7/2022,1649289600,62977
4/8/2022,1649376000,55954
4/9/2022,1649462400,45665
4/10/2022,1649548800,46350
4/11/2022,1649635200,52557
4/12/2022,1649721600,51254
4/13/2022,1649808000,50488
4/14/2022,1649894400,46330
4/15/2022,1649980800,45854
4/16/2022,1650067200,44949
4/17/2022,1650153600,45716
4/18/2022,1650240000,48567
4/19/2022,1650326400,48170
4/20/2022,1650412800,54358
4/21/2022,1650499200,54090
4/22/2022,1650585600,51979
4/23/2022,1650672000,51959
4/24/2022,1650758400,48114
4/25/2022,1650844800,56790
4/26/2022,1650931200,54156
4/27/2022,1651017600,49312
4/28/2022,1651104000,55542
4/29/2022,1651190400,58936
4/30/2022,1651276800,49331
5/1/2022,1651363200,47416
5/2/2022,1651449600,44217
5/3/2022,1651536000,43216
5/4/2022,1651622400,47879
5/5/2022,1651708800,49823
5/6/2022,1651795200,46065
5/7/2022,1651881600,44825
5/8/2022,1651968000,45795
5/9/2022,1652054400,65790
5/10/2022,1652140800,59378
5/11/2022,1652227200,99174
5/12/2022,1652313600,126990
5/13/2022,1652400000,101678
5/14/2022,1652486400,84824
5/15/2022,1652572800,56756
5/16/2022,1652659200,55414
5/17/2022,1652745600,46561
5/18/2022,1652832000,46306
5/19/2022,1652918400,44896
5/20/2022,1653004800,43836
5/21/2022,1653091200,40185
5/22/2022,1653177600,42028
5/23/2022,1653264000,51255
5/24/2022,1653350400,46812
5/25/2022,1653436800,47684
5/26/2022,1653523200,52836
5/27/2022,1653609600,45614
5/28/2022,1653696000,40852
5/29/2022,1653782400,40128
5/30/2022,1653868800,47381
5/31/2022,1653955200,45342
6/1/2022,1654041600,43652
6/2/2022,1654128000,39818
6/3/2022,1654214400,36753
6/4/2022,1654300800,35465
6/5/2022,1654387200,37456
6/6/2022,1654473600,43480
6/7/2022,1654560000,44777
6/8/2022,1654646400,46268
6/9/2022,1654732800,44321
6/10/2022,1654819200,43246
6/11/2022,1654905600,39437
6/12/2022,1654992000,39336
6/13/2022,1655078400,54918
6/14/2022,1655164800,48364
6/15/2022,1655251200,46855
6/16/2022,1655337600,40434
6/17/2022,1655424000,36642
6/18/2022,1655510400,41023
6/19/2022,1655596800,35334
6/20/2022,1655683200,40025
6/21/2022,1655769600,41287
6/22/2022,1655856000,37361
6/23/2022,1655942400,37539
6/24/2022,1656028800,39862
6/25/2022,1656115200,36035
6/26/2022,1656201600,36576
6/27/2022,1656288000,37051
6/28/2022,1656374400,40350
6/29/2022,1656460800,41366
6/30/2022,1656547200,42917
7/1/2022,1656633600,40557
7/2/2022,1656720000,34220
7/3/2022,1656806400,32063
7/4/2022,1656892800,38296
7/5/2022,1656979200,39279
7/6/2022,1657065600,38079
7/7/2022,1657152000,38111
7/8/2022,1657238400,38517
7/9/2022,1657324800,31830
7/10/2022,1657411200,31923
7/11/2022,1657497600,39387
7/12/2022,1657584000,36943
7/13/2022,1657670400,39029
7/14/2022,1657756800,39449
7/15/2022,1657843200,40209
7/16/2022,1657929600,39692
7/17/2022,1658016000,37488
7/18/2022,1658102400,42883
7/19/2022,1658188800,40728
7/20/2022,1658275200,37814
7/21/2022,1658361600,36188
7/22/2022,1658448000,35396
7/23/2022,1658534400,30574
7/24/2022,1658620800,29672
7/25/2022,1658707200,35803
7/26/2022,1658793600,33951
7/27/2022,1658880000,36800
7/28/2022,1658966400,37089
7/29/2022,1659052800,38586
7/30/2022,1659139200,37274
7/31/2022,1659225600,36672
8/1/2022,1659312000,37384
8/2/2022,1659398400,33793
8/3/2022,1659484800,33139
8/4/2022,1659571200,34935
,,
,,38224714
,,54219.45248
